股票代码,股票名称,日期,总分,蓄势分,平衡分,动量分,买点类型,蓄势等级,动量等级,ratio_d20,ratio_d1,volume_ratio,fz_ratio,instant_deviation,rising_days,falling_days
002709,天赐材料,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.0241260462826195,-0.0235576923076924,0.9740553073614825,1.5,-0.9135000000000062,8,12
003007,直真科技,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.02151755379388455,-0.021064301552106493,1.215825526287151,1.8571428571428572,-0.5980000000000061,7,13
300223,北京君正,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.17714140902179423,-0.15048439181916037,1.0254904726480114,1.5,-12.790999999999997,8,12
600570,恒生电子,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.17991329479768775,-0.15248009797917936,1.3433352748240424,2.1666666666666665,-2.7844999999999978,6,13
601669,中国电建,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.03398926654740615,-0.03287197231833917,1.0830649607485643,1.8571428571428572,-0.020999999999999908,7,13
603583,捷昌驱动,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.11014744145706837,-0.09921874999999988,1.069682675183068,1.8571428571428572,-2.4254999999999924,7,13
688066,航天宏图,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.693388429752066,-0.40946803318692043,1.0504312938977391,2.3333333333333335,-3.5444999999999993,6,14
688114,华大智造,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.15781303897895824,-0.13630269626098612,1.4936680330361476,1.5,-7.666499999999992,8,12
688795,摩尔线程,2026-03-03,20.0,20.0,0.0,-10.0,,,,-0.10599196200219216,-0.0958342968517723,1.394241566250247,1.5,-28.39949999999999,8,12
000558,天府文旅,2026-03-03,15.0,15.0,0.0,-10.0,,,,-0.12050739957716688,-0.10754716981132065,0.7523302475457239,0.9,-0.5254999999999992,10,9
688498,源杰科技,2026-03-03,15.0,0.0,0.0,15.0,,,,0.06628571428571428,0.07099143206854346,1.1545759241729385,0.6666666666666666,83.79999999999995,12,8
300699,光威复材,2026-03-03,10.0,0.0,0.0,10.0,,,,-0.17916207276736493,-0.15194015895278168,1.6770561326896722,1.2222222222222223,-3.641999999999996,9,11
000721,西安饮食,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.10722891566265044,-0.09684439608269846,0.8158061962040557,1.0,-0.6074999999999999,10,10
002171,楚江新材,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.11128404669260698,-0.10014005602240895,1.305223284237178,1.2222222222222223,-0.3435000000000006,9,11
300705,九典制药,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.06469002695417796,-0.06075949367088613,1.3656737719968215,1.2222222222222223,-0.5840000000000014,9,11
300919,中伟新材,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.060211400528501414,-0.056791881787431095,0.9757380369526042,1.0,-1.4239999999999995,10,10
600105,永鼎股份,2026-03-03,0.0,0.0,0.0,-10.0,,,,0.04106104651162787,0.0428192497158014,1.31146307480376,0.6666666666666666,-0.036999999999999034,12,8
600307,酒钢宏兴,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.06951871657754005,-0.06499999999999995,0.9374524044728002,1.1111111111111112,-0.02400000000000002,9,10
601138,工业富联,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.11096938775510197,-0.09988518943742819,1.2555570218356535,0.8181818181818182,-1.3089999999999975,11,9
601899,紫金矿业,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.04503345342254246,-0.04309283427727161,1.0153337130066442,0.5384615384615384,-0.5234999999999985,13,7
603933,睿能科技,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.10955710955710962,-0.09873949579831938,1.1567536051288405,0.9,-1.6814999999999998,10,9
688256,寒武纪,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.14813115043466762,-0.1290193636664131,0.8333111197847449,1.0,-14.631000000000085,10,10
688981,中芯国际,2026-03-03,0.0,0.0,0.0,-10.0,,,,-0.14532360816175788,-0.1268843208383716,1.2034463242055438,1.0,-8.414500000000004,10,10
